Sn,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,imdb_score,budget,gross,profit_percent,Hit/Flop
45,Terminator Salvation,McG,Christian Bale,Bryce Dallas Howard,Common,Action|Adventure|Sci-Fi,6.6,200000000,125320003,-0.373399985,FLOP
46,Furious 7,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action|Crime|Thriller,7.2,190000000,350034110,0.842284789,HIT
47,World War Z,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action|Adventure|Horror|Sci-Fi|Thriller,7,190000000,202351611,0.065008479,HIT
48,X-Men: Days of Future Past,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action|Adventure|Fantasy|Sci-Fi|Thriller,8,200000000,233914986,0.16957493,HIT
49,Star Trek Into Darkness,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action|Adventure|Sci-Fi,7.8,190000000,228756232,0.203980168,HIT
50,Jack the Giant Slayer,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure|Fantasy,6.3,195000000,65171860,-0.665785333,FLOP
51,The Great Gatsby,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama|Romance,7.3,105000000,144812796,0.379169486,HIT
52,Prince of Persia: The Sands of Time,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action|Adventure|Fantasy|Romance,6.6,200000000,90755643,-0.546221785,FLOP
53,Pacific Rim,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action|Adventure|Sci-Fi,7,190000000,101785482,-0.464286937,FLOP
54,Transformers: Dark of the Moon,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action|Adventure|Sci-Fi,6.3,195000000,352358779,0.806968097,HIT
55,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action|Adventure|Fantasy,6.2,185000000,317011114,0.713573589,HIT
57,Brave,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure|Animation|Comedy|Family|Fantasy,7.2,185000000,237282182,0.282606389,HIT
58,Star Trek Beyond,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action|Adventure|Sci-Fi|Thriller,7.5,185000000,130468626,-0.294764184,FLOP
59,WALL·E,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure|Animation|Family|Sci-Fi,8.4,180000000,223806889,0.243371606,HIT
60,Rush Hour 3,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action|Comedy|Crime|Thriller,6.2,140000000,140080850,0.0005775,HIT
61,2012,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action|Adventure|Sci-Fi,5.8,200000000,166112167,-0.169439165,FLOP
62,A Christmas Carol,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation|Drama|Family|Fantasy,6.8,200000000,137850096,-0.31074952,FLOP
63,Jupiter Ascending,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action|Adventure|Sci-Fi,5.4,176000000,47375327,-0.730822006,FLOP
64,The Legend of Tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action|Adventure|Drama|Romance,6.6,180000000,124051759,-0.310823561,FLOP
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure|Family|Fantasy,6.9,180000000,291709845,0.62061025,HIT
66,X-Men: Apocalypse,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action|Adventure|Sci-Fi,7.3,178000000,154985087,-0.129297264,FLOP
67,The Dark Knight,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action|Crime|Drama|Thriller,9,185000000,533316061,1.882789519,HIT
68,Up,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure|Animation|Comedy|Family,8.3,175000000,292979556,0.674168891,HIT
69,Monsters vs. Aliens,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action|Adventure|Animation|Comedy|Family|Sci-Fi,6.5,175000000,198332128,0.133326446,HIT
70,Iron Man,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action|Adventure|Sci-Fi,7.9,140000000,318298180,1.273558429,HIT
71,Hugo,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure|Drama|Family|Mystery,7.5,170000000,73820094,-0.565764153,FLOP
72,Wild Wild West,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action|Comedy|Sci-Fi|Western,4.8,170000000,113745408,-0.330909365,FLOP
73,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action|Adventure|Fantasy|Horror|Thriller,5.2,145000000,102176165,-0.295336793,FLOP
74,Suicide Squad,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action|Adventure|Comedy|Sci-Fi,6.9,175000000,161087183,-0.079501811,FLOP
75,Evan Almighty,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy|Family|Fantasy,5.4,175000000,100289690,-0.426916057,FLOP
76,Edge of Tomorrow,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action|Adventure|Sci-Fi,7.9,178000000,100189501,-0.437137635,FLOP
77,Waterworld,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action|Adventure|Sci-Fi|Thriller,6.1,175000000,88246220,-0.495735886,FLOP
78,G.I. Joe: The Rise of Cobra,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action|Adventure|Sci-Fi|Thriller,5.8,175000000,150167630,-0.141899257,FLOP
79,Inside Out,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure|Animation|Comedy|Drama|Family|Fantasy,8.3,175000000,356454367,1.036882097,HIT
80,The Jungle Book,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure|Drama|Family|Fantasy,7.8,175000000,362645141,1.072257949,HIT
81,Iron Man 2,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action|Adventure|Sci-Fi,7,200000000,312057433,0.560287165,HIT
82,Snow White and the Huntsman,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action|Adventure|Drama|Fantasy,6.1,170000000,155111815,-0.087577559,FLOP
83,Maleficent,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action|Adventure|Family|Fantasy|Romance,7,180000000,241407328,0.341151822,HIT
84,Dawn of the Planet of the Apes,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action|Adventure|Drama|Sci-Fi,7.6,170000000,208543795,0.226728206,HIT
86,47 Ronin,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action|Adventure|Drama|Fantasy,6.3,175000000,38297305,-0.781158257,FLOP
87,Captain America: The Winter Soldier,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action|Adventure|Sci-Fi,7.8,170000000,259746958,0.527923282,HIT
88,Shrek Forever After,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure|Animation|Comedy|Family|Fantasy,6.4,165000000,238371987,0.444678709,HIT
89,Tomorrowland,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action|Adventure|Family|Mystery|Sci-Fi,6.5,190000000,93417865,-0.508327026,FLOP
90,Big Hero 6,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,7.9,165000000,222487711,0.34841037,HIT
91,Wreck-It Ralph,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure|Animation|Comedy|Family|Sci-Fi,7.8,165000000,189412677,0.147955618,HIT
92,The Polar Express,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure|Animation|Family|Fantasy,6.6,165000000,665426,-0.995967115,FLOP
93,Independence Day: Resurgence,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action|Adventure|Sci-Fi,5.5,165000000,102315545,-0.379905788,FLOP
94,How to Train Your Dragon,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure|Animation|Family|Fantasy,8.2,165000000,217387997,0.317503012,HIT
95,Terminator 3: Rise of the Machines,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action|Sci-Fi,6.4,200000000,150350192,-0.24824904,FLOP
96,Guardians of the Galaxy,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action|Adventure|Sci-Fi,8.1,170000000,333130696,0.959592329,HIT
97,Interstellar,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure|Drama|Sci-Fi,8.6,165000000,187991439,0.139342055,HIT
98,Inception,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action|Adventure|Sci-Fi|Thriller,8.8,160000000,292568851,0.828555319,HIT
100,The Hobbit: An Unexpected Journey,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,7.9,180000000,303001229,0.683340161,HIT
101,The Fast and the Furious,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action|Crime|Thriller,6.7,38000000,144512310,2.802955526,HIT
102,The Curious Case of Benjamin Button,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama|Fantasy|Romance,7.8,150000000,127490802,-0.15006132,FLOP
103,X-Men: First Class,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action|Adventure|Sci-Fi,7.8,160000000,146405371,-0.084966431,FLOP
104,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure|Sci-Fi,6.6,160000000,281666058,0.760412863,HIT
105,The Sorcerer's Apprentice,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action|Adventure|Family|Fantasy,6.1,150000000,63143812,-0.579041253,FLOP
106,Poseidon,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action|Adventure|Drama|Thriller,5.6,160000000,60655503,-0.620903106,FLOP
107,Alice Through the Looking Glass,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure|Family|Fantasy,6.4,170000000,76846624,-0.547961035,FLOP
108,Shrek the Third,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure|Animation|Comedy|Family|Fantasy,6.1,160000000,320706665,1.004416656,HIT
109,Warcraft,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action|Adventure|Fantasy,7.3,160000000,46978995,-0.706381281,FLOP
110,Terminator Genisys,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action|Adventure|Sci-Fi,6.6,155000000,89732035,-0.421083645,FLOP
111,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure|Family|Fantasy,6.3,155000000,104383624,-0.326557265,FLOP
112,Pearl Harbor,Michael Bay,Jennifer Garner,Jaime King,Mako,Action|Drama|History|Romance|War,6.1,140000000,198539855,0.418141821,HIT
113,Transformers,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action|Adventure|Sci-Fi,7.1,150000000,318759914,1.125066093,HIT
114,Alexander,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action|Adventure|Biography|Drama|History|Romance|War,5.5,155000000,34293771,-0.778749865,FLOP
115,Harry Potter and the Order of the Phoenix,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure|Family|Fantasy|Mystery,7.5,150000000,292000866,0.94667244,HIT
116,Harry Potter and the Goblet of Fire,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure|Family|Fantasy|Mystery,7.6,150000000,289994397,0.93329598,HIT
117,Hancock,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action|Drama,6.4,150000000,227946274,0.519641827,HIT
118,I Am Legend,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama|Horror|Sci-Fi,7.2,150000000,256386216,0.70924144,HIT
119,Charlie and the Chocolate Factory,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure|Comedy|Family|Fantasy,6.7,150000000,206456431,0.376376207,HIT
120,Ratatouille,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation|Comedy|Family|Fantasy,8,150000000,206435493,0.37623662,HIT
121,Batman Begins,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action|Adventure,8.3,150000000,205343774,0.368958493,HIT
122,Madagascar: Escape 2 Africa,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action|Adventure|Animation|Comedy|Family,6.7,150000000,179982968,0.199886453,HIT
123,Night at the Museum: Battle of the Smithsonian,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure|Comedy|Family|Fantasy,5.9,150000000,177243721,0.181624807,HIT
124,X-Men Origins: Wolverine,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.7,150000000,179883016,0.199220107,HIT
125,The Matrix Revolutions,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action|Sci-Fi,6.7,150000000,139259759,-0.071601607,FLOP
126,Frozen,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure|Animation|Comedy|Family|Fantasy|Musical,7.6,150000000,400736600,1.671577333,HIT
127,The Matrix Reloaded,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action|Sci-Fi,7.2,150000000,281492479,0.876616527,HIT
128,Thor: The Dark World,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action|Adventure|Fantasy,7.1,170000000,206360018,0.213882459,HIT
129,Mad Max: Fury Road,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action|Adventure|Sci-Fi|Thriller,8.1,150000000,153629485,0.024196567,HIT
130,Angels & Demons,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery|Thriller,6.7,150000000,133375846,-0.110827693,FLOP
131,Thor,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action|Adventure|Fantasy,7,150000000,181015141,0.206767607,HIT
132,Bolt,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure|Animation|Comedy|Drama|Family,6.9,150000000,114053579,-0.239642807,FLOP
133,G-Force,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,5.1,150000000,119420252,-0.203864987,FLOP
134,Wrath of the Titans,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action|Adventure|Fantasy,5.8,150000000,83640426,-0.44239716,FLOP
135,Dark Shadows,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy|Fantasy|Horror,6.2,100000000,79711678,-0.20288322,FLOP
136,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action|Adventure|Thriller,7.4,150000000,195000874,0.300005827,HIT
137,The Wolfman,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama|Fantasy|Horror|Thriller,5.8,150000000,61937495,-0.587083367,FLOP
138,The Legend of Tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action|Adventure|Drama|Romance,6.6,180000000,124051759,-0.310823561,FLOP
139,Bee Movie,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure|Animation|Comedy|Family,6.2,150000000,126597121,-0.156019193,FLOP
140,Kung Fu Panda 2,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action|Adventure|Animation|Comedy|Family,7.3,150000000,165230261,0.101535073,HIT
141,The Last Airbender,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action|Adventure|Family|Fantasy,4.2,150000000,131564731,-0.122901793,FLOP
142,Mission: Impossible III,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action|Adventure|Thriller,6.9,150000000,133382309,-0.110784607,FLOP
143,White House Down,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action|Drama|Thriller,6.4,150000000,73103784,-0.51264144,FLOP
144,Mars Needs Moms,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action|Adventure|Animation|Comedy|Family|Sci-Fi,5.4,150000000,21379315,-0.857471233,FLOP
145,Flushed Away,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure|Animation|Comedy|Family,6.7,149000000,64459316,-0.567387141,FLOP
146,Pan,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure|Family|Fantasy,5.8,150000000,34964818,-0.766901213,FLOP
147,Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure|Animation|Comedy|Family|Sci-Fi,6.9,145000000,111505642,-0.230995572,FLOP
148,Troy,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,7.2,175000000,133228348,-0.238695154,FLOP
149,Madagascar 3: Europe's Most Wanted,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure|Animation|Comedy|Family,6.9,145000000,216366733,0.492184366,HIT
150,Die Another Day,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action|Adventure|Thriller,6.1,142000000,160201106,0.128176803,HIT
151,Ghostbusters,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action|Comedy|Fantasy|Sci-Fi,5.5,144000000,118099659,-0.179863479,FLOP
152,Armageddon,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action|Adventure|Sci-Fi|Thriller,6.6,140000000,201573391,0.439809936,HIT
153,Men in Black II,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,6.1,140000000,190418803,0.360134307,HIT
154,Beowulf,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action|Adventure|Animation|Fantasy,6.3,150000000,82161969,-0.45225354,FLOP
155,Kung Fu Panda 3,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action|Adventure|Animation|Comedy|Family,7.2,145000000,143523463,-0.010183014,FLOP
156,Mission: Impossible - Ghost Protocol,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action|Adventure|Thriller,7.4,145000000,209364921,0.443896007,HIT
157,Rise of the Guardians,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure|Animation|Family|Fantasy,7.3,145000000,103400692,-0.286891779,FLOP
158,Fun with Dick and Jane,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy|Crime,6.1,100000000,110332737,0.10332737,HIT
159,The Last Samurai,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action|Drama|History|War,7.7,140000000,111110575,-0.206353036,FLOP
160,Exodus: Gods and Kings,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action|Adventure|Drama,6.1,140000000,65007045,-0.535663964,FLOP
161,Star Trek,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action|Adventure|Sci-Fi,8,150000000,257704099,0.718027327,HIT
162,Spider-Man,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Fantasy|Romance,7.3,139000000,403706375,1.90436241,HIT
163,How to Train Your Dragon 2,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action|Adventure|Animation|Comedy|Family|Fantasy,7.9,145000000,176997107,0.220669703,HIT
164,Gods of Egypt,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action|Adventure|Fantasy,5.5,140000000,31141074,-0.777563757,FLOP
